,num,lon,lat,latlon,notes,location,spininital,spinfinish,runs,x,y,umw
137,137,-65.25,44.25,lat44.25lon-65.25,1.5-degree,geo,25-Jul-16,27-Jul-16,4-Aug-16,2.4234016892,1.0132066606,n
138,138,-98.25,45.75,lat45.75lon-98.25,1.5-degree,geo,24-Jul-16,29-Jul-16,11-Aug-16,-0.1584230486,1.1285699142,n
139,139,-96.75,45.75,lat45.75lon-96.75,1.5-degree,geo,24-Jul-16,29-Jul-16,9-Aug-16,-0.0437442741,1.1080215333,y
140,140,-95.25,45.75,lat45.75lon-95.25,1.5-degree,geo,24-Jul-16,29-Jul-16,10-Aug-16,0.0712979722,1.0896166748,y
141,141,-93.75,45.75,lat45.75lon-93.75,1.5-degree,geo,24-Jul-16,29-Jul-16,10-Aug-16,0.1866636284,1.0733617481,y
142,142,-90.75,45.75,lat45.75lon-90.75,1.5-degree,geo,24-Jul-16,29-Jul-16,12-Aug-16,0.4182043725,1.0473235813,n
143,143,-89.25,45.75,lat45.75lon-89.25,1.5-degree,geo,7-Aug-16,16-Aug-16,24-Aug-16,0.5342988289,1.0375494089,y
144,144,-87.75,45.75,lat45.75lon-87.75,1.5-degree,geo,6-Aug-16,14-Aug-16,24-Aug-16,0.6505554604,1.0299432999,y
145,145,-78.75,45.75,lat45.75lon-78.75,1.5-degree,geo,7-Aug-16,14-Aug-16,24-Aug-16,1.3492315885,1.0299313655,n
146,146,-75.75,45.75,lat45.75lon-75.75,1.5-degree,geo,7-Aug-16,15-Aug-16,24-Aug-16,1.5815832701,1.0473037092,n
147,147,-74.25,45.75,lat45.75lon-74.25,1.5-degree,geo,7-Aug-16,11-Aug-16,24-Aug-16,1.6974755307,1.0592385822,n
148,148,-72.75,45.75,lat45.75lon-72.75,1.5-degree,geo,7-Aug-16,11-Aug-16,21-Aug-16,1.8131249035,1.0733339658,n
149,149,-71.25,45.75,lat45.75lon-71.25,1.5-degree,geo,8-Aug-16,20-Aug-16,26-Aug-16,1.9284911149,1.0895849513,n
150,150,-68.25,45.75,lat45.75lon-68.25,1.5-degree,geo,8-Aug-16,13-Aug-16,20-Aug-16,2.1582134664,1.1285303428,n
151,151,-66.75,45.75,lat45.75lon-66.75,1.5-degree,geo,8-Aug-16,12-Aug-16,19-Aug-16,2.2724896083,1.1512111864,n
152,152,-63.75,45.75,lat45.75lon-63.75,1.5-degree,geo,8-Aug-16,11-Aug-16,19-Aug-16,2.4996728614,1.2029496804,n
153,153,-62.25,45.75,lat45.75lon-62.25,1.5-degree,geo,ERROR,,,2.6125008588,1.2319893135,n
154,154,-98.25,47.25,lat47.25lon-98.25,1.5-degree,geo,8-Aug-16,13-Aug-16,24-Aug-16,-0.1274324934,1.2926897965,n
155,155,-96.75,47.25,lat47.25lon-96.75,1.5-degree,geo,23-Aug-16,27-Aug-16,15-Sep-16,-0.0158216473,1.2726911333,y
156,156,-93.75,47.25,lat47.25lon-93.75,1.5-degree,geo,23-Aug-16,28-Aug-16,12-Sep-16,0.2084222992,1.2389585793,y
157,157,-83.25,47.25,lat47.25lon-83.25,1.5-degree,geo,23-Aug-16,27-Aug-16,11-Sep-16,0.9998962103,1.1871762705,n
158,158,-81.75,47.25,lat47.25lon-81.75,1.5-degree,geo,23-Aug-16,27-Aug-16,11-Sep-16,1.1132796848,1.1882323126,n
159,159,-80.25,47.25,lat47.25lon-80.25,1.5-degree,geo,24-Aug-16,27-Aug-16,13-Sep-16,1.2266237108,1.1914039447,n
160,160,-78.75,47.25,lat47.25lon-78.75,1.5-degree,geo,25-Aug-16,13-Sep-16,23-Sep-16,1.3398888178,1.1966900622,n
161,161,-75.75,47.25,lat47.25lon-75.75,1.5-degree,geo,25-Aug-16,12-Sep-16,17-Sep-16,1.5660245427,1.2135976545,n
162,162,-74.25,47.25,lat47.25lon-74.25,1.5-degree,geo,25-Aug-16,30-Aug-16,10-Sep-16,1.6788164114,1.2252132415,n
163,163,-72.75,47.25,lat47.25lon-72.75,1.5-degree,geo,26-Aug-16,30-Aug-16,6-Sep-16,1.79137189,1.2389315403,n
164,164,-71.25,47.25,lat47.25lon-71.25,1.5-degree,geo,26-Aug-16,30-Aug-16,6-Sep-16,1.9036517826,1.2547477735,n
165,165,-68.25,47.25,lat47.25lon-68.25,1.5-degree,geo,26-Aug-16,28-Aug-16,4-Sep-16,2.127228518,1.2926512837,n
166,166,-66.75,47.25,lat47.25lon-66.75,1.5-degree,geo,26-Aug-16,30-Aug-16,5-Sep-16,2.2384475029,1.3147253611,n
167,167,-65.25,47.25,lat47.25lon-65.25,1.5-degree,geo,ERROR,,,2.3492352128,1.3388709787,n
168,168,-98.25,48.75,lat48.75lon-98.25,1.5-degree,geo,14-Sep-16,27-Sep-16,14-Oct-16,-0.09645717,1.456729014,n
169,169,-96.75,48.75,lat48.75lon-96.75,1.5-degree,geo,14-Sep-16,26-Sep-16,14-Oct-16,0.0120872557,1.4372797984,y
170,170,-95.25,48.75,lat48.75lon-95.25,1.5-degree,geo,ERROR,,,0.1209757106,1.4198594449,y
171,171,-93.75,48.75,lat48.75lon-93.75,1.5-degree,geo,14-Sep-16,26-Sep-16,11-Oct-16,0.2301702756,1.4044740198,y
172,172,-90.75,48.75,lat48.75lon-90.75,1.5-degree,geo,14-Sep-16,16-Sep-16,11-Oct-16,0.4493255395,1.3798286757,n
173,173,-89.25,48.75,lat48.75lon-89.25,1.5-degree,geo,14-Sep-16,16-Sep-16,9-Oct-16,0.5592099201,1.3705773392,n
174,174,-83.25,48.75,lat48.75lon-83.25,1.5-degree,geo,14-Sep-16,18-Sep-16,14-Oct-16,0.9998990619,1.3541143893,n
175,175,-81.75,48.75,lat48.75lon-81.75,1.5-degree,geo,14-Sep-16,16-Sep-16,9-Oct-16,1.1101674143,1.3551414175,n
