"lon","lat","latlon","umw","x","y","stab.pdsi.ann","stab.pdsi.ann.cent","stab.tair.ann","stab.tair.ann.cent","stab.tair.jja","stab.tair.jja.cent","stab.precip.ann","stab.precip.ann.cent","stab.precip.jja","stab.precip.jja.cent"
-94.75,45.25,"lat45.25lon-94.75","y",0.101780588,1.0288574417,1255.3683298055,1.49870599423865e-06,5864.79419320195,6.12890560067454e-09,4932.0768752942,5.4420866340395e-09,4.46559129800836e-08,4.06766507510722e-20,3.12541889490074e-07,3.26949039037512e-19
-89.75,45.25,"lat45.25lon-89.75","y",0.4910827428,0.9850780435,5909.21700493109,2.43709514556298e-08,4447.34863663077,3.90392919973041e-09,3935.31286932985,4.78331939195604e-09,5.15383031571888e-08,3.59922088789471e-20,3.39546528290405e-07,1.0393780982868e-19
-84.75,45.25,"lat45.25lon-84.75","y",0.8823534818,0.9655841411,6119.50047882308,2.4181065106712e-08,4611.26466694747,2.74886060197166e-09,3089.49469279127,3.32795913833468e-09,4.63568538156363e-08,3.68619891913413e-20,2.03962506569759e-07,6.40132677176535e-20
-79.75,45.25,"lat45.25lon-79.75","n",1.2740792988,0.9704511402,4149.21777549905,1.50827957316452e-08,4097.18584054651,2.30769473063696e-09,2994.39343857006,3.24083025156914e-09,6.34036658632168e-08,4.31659754955564e-20,2.11074605283366e-07,2.25165835462817e-19
-74.75,45.25,"lat45.25lon-74.75","n",1.6647449275,0.9996602146,5922.51148590776,6.50285696726096e-09,3602.58451736792,2.46047229247151e-09,2780.83897601399,3.81276132100769e-09,7.3014303345699e-08,1.22737008038831e-20,2.58350562434266e-07,1.48714447841845e-19
-69.75,45.25,"lat45.25lon-69.75","n",2.0528392022,1.0530983781,4644.16471686832,6.450949501957e-09,3031.50152138644,2.54772018962492e-09,2836.59997763052,4.43888248769065e-09,7.4703173660712e-08,4.31004808458864e-20,3.23905906591434e-07,1.55962501928585e-19
-64.75,45.25,"lat45.25lon-64.75","n",2.4368609041,1.1305589224,4652.0552286531,1.00521496136325e-08,2704.27933797968,1.58618016626381e-09,3279.67256816809,4.20022087654065e-09,1.12070590583614e-07,7.35857442558914e-20,2.51931486510635e-07,6.07452576351881e-20
-97.25,35.25,"lat35.25lon-97.25","n",-0.2834796307,-0.0302349051,1954.70781866458,6.94429926835932e-08,3371.81827993789,3.6057429057845e-10,7542.04703584956,2.38888511769511e-09,1.13420121524602e-07,7.20327476673664e-20,2.70923243439165e-07,1.33351820317112e-19
-92.25,35.25,"lat35.25lon-92.25","n",0.1724057306,-0.0959154796,6970.20187384208,5.51869377577019e-08,2289.00276571457,1.25183005934218e-09,3621.66243632357,6.4833150954194e-09,1.98431010164951e-07,1.26327789752801e-19,2.65944426113627e-07,1.18489964617986e-19
-87.25,35.25,"lat35.25lon-87.25","n",0.6314923764,-0.1331290795,6814.12776066809,1.71062287369391e-08,2109.81343169646,3.3425582568768e-09,1847.29329530029,5.38907532892702e-09,2.12191008076935e-07,1.72230624518993e-19,3.79495638877674e-07,1.51461023278466e-19
-82.25,35.25,"lat35.25lon-82.25","n",1.0920044766,-0.1417317558,5279.31846372884,7.12504094919554e-09,2121.54849937839,4.02818645924549e-09,1278.69356239576,4.6341776532622e-09,1.60905039169277e-07,9.5624274697146e-20,3.1419731025344e-07,2.68242123915812e-19
-77.25,35.25,"lat35.25lon-77.25","n",1.5521606868,-0.1216902319,6842.57150115866,1.35088740565115e-08,2171.39851968113,3.97269625065517e-09,1318.24531958161,4.21169084227224e-09,1.45092039610265e-07,1.08075129730745e-19,5.25236263533018e-07,1.28024661375016e-19
-99.75,37.75,"lat37.75lon-99.75","n",-0.4536420409,0.2822783562,3181.84751776921,1.98106664989832e-08,3777.74631771444,8.09598299309785e-10,7368.8261769304,6.76483938506643e-09,2.77258190713419e-08,4.4544144120535e-20,1.59972462412577e-07,2.16805304892353e-19
-94.75,37.75,"lat37.75lon-94.75","n",-0.0168548398,0.2054152704,4251.02384301156,3.33678914639193e-06,3699.03874014378,1.13129836841528e-09,7116.39266705625,7.54124258830169e-09,1.2414326727095e-07,1.50799464437077e-19,4.67641105866613e-07,8.78373180986194e-19
-89.75,37.75,"lat37.75lon-89.75","n",0.4238657402,0.1558535572,4731.06520724193,3.99578337716139e-08,2826.21431416668,7.72542732356832e-10,3812.76687866437,3.31155683950434e-09,1.25547065470839e-07,8.16195864780043e-20,3.13577036760294e-07,1.74635849285871e-19
-84.75,37.75,"lat37.75lon-84.75","n",0.866814912,0.1337849303,5205.54452665203,1.47477419657403e-08,2463.19860467165,2.38862483011225e-09,2199.89401767826,2.4397347427872e-09,1.16126787172099e-07,1.45386071287104e-19,2.94003941752915e-07,1.11204368547799e-19
-79.75,37.75,"lat37.75lon-79.75","n",1.3102792678,0.1392947552,5324.98478589222,1.77081488495878e-08,2410.21700899827,2.76078940088149e-09,1633.79164619812,3.29135113529202e-09,9.5875529155288e-08,7.83224371791043e-20,2.14588304697423e-07,2.18355254038478e-19
-97.25,40.25,"lat40.25lon-97.25","n",-0.187953382,0.5126088069,1651.87573362212,4.37883797602013e-08,4319.77992847204,2.80283497800598e-09,6364.67115865362,1.08675491939188e-08,5.79291794143249e-08,1.12420997804275e-19,2.56515615143377e-07,4.7368077763029e-19
-92.25,40.25,"lat40.25lon-92.25","n",0.2340015472,0.4518166769,4005.63867337282,2.38372342872628e-06,3936.92575202805,1.00480878946161e-09,5461.03897563514,5.82971273038218e-09,9.26265561076606e-08,7.40060285463639e-20,4.15663166432148e-07,6.05890831272117e-19
-87.25,40.25,"lat40.25lon-87.25","n",0.6589194973,0.4173727942,7110.92462622617,6.16008782083809e-08,3376.4828516086,6.49147397129224e-10,3912.1835730966,4.40572328487016e-09,8.27934428512943e-08,7.75625174675781e-20,3.32935608714715e-07,2.77725634852879e-19
-82.25,40.25,"lat40.25lon-82.25","n",1.0851568085,0.409410394,4876.74824833343,4.07940784385291e-08,2791.92622680733,1.31305098799046e-09,2386.85001140872,2.95940115950979e-09,6.45743072880551e-08,9.46587452097842e-20,2.56364712711501e-07,2.69311373140919e-19
-77.25,40.25,"lat40.25lon-77.25","n",1.5110647178,0.4279602763,5643.20404693854,5.80289796224835e-09,2623.42170760297,2.22061351370476e-09,1852.57522786278,3.21398026473365e-09,8.73866086997831e-08,3.73920820186158e-20,2.91795424321184e-07,1.69257051163417e-19
-99.75,42.75,"lat42.75lon-99.75","n",-0.3407483781,0.8244467682,3046.84809915837,1.98028084792671e-08,4989.44642815339,4.40640740203325e-09,6007.70167455199,1.47879398881285e-08,2.64795790424828e-08,7.2129679369608e-20,1.35974536953574e-07,3.59132272058308e-19
-94.75,42.75,"lat42.75lon-94.75","n",0.0621167806,0.7535530717,1819.12664405381,1.34029208843618e-05,5637.59861747772,3.60035119037319e-09,5793.25052021722,7.30381631119714e-09,5.10413845545733e-08,1.14587306025234e-19,3.43652787399921e-07,5.27182509582139e-19
