"lon","lat","latlon","umw","x","y","domain.paleon","pc.all1","pc.all2","pc.setveg1","pc.setveg2","pc.setveg.mod1","pc.setveg.mod2","pc.umw1","pc.umw2","pc.umw.mod1","pc.umw.mod2"
-98.75,43.75,"lat43.75lon-98.75",NA,NA,NA,NA,-0.400662295926328,-2.88818875087716,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,44.25,"lat44.25lon-98.75",NA,NA,NA,NA,-0.570247222862371,-2.87049371008948,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,44.75,"lat44.75lon-98.75",NA,NA,NA,NA,-0.338258274706803,-2.62134948402254,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,45.25,"lat45.25lon-98.75",NA,NA,NA,NA,-0.0381537872665073,-2.71729765004561,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,45.75,"lat45.75lon-98.75",NA,NA,NA,NA,-0.0293120063903828,-2.87311434117861,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,46.25,"lat46.25lon-98.75",NA,NA,NA,NA,0.155038817243267,-3.2318090984983,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,46.75,"lat46.75lon-98.75",NA,NA,NA,NA,0.299072229894519,-3.26469713495193,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,47.25,"lat47.25lon-98.75",NA,NA,NA,NA,0.455772580224686,-3.22939794091208,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,47.75,"lat47.75lon-98.75",NA,NA,NA,NA,1.10144102647862,-3.00080451803377,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,48.25,"lat48.25lon-98.75",NA,NA,NA,NA,0.665261689888409,-3.13356297744312,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,48.75,"lat48.75lon-98.75",NA,NA,NA,NA,0.724290281546811,-2.95164751824841,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,49.25,"lat49.25lon-98.75",NA,NA,NA,NA,0.603558411861256,-3.01422361943518,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,49.75,"lat49.75lon-98.75",NA,NA,NA,NA,1.06604597240732,-2.9412903951765,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,35.25,"lat35.25lon-98.25","n",-0.3741170704,-0.0137031826,NA,-2.5593275363526,-2.9609021035747,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,35.75,"lat35.75lon-98.25",NA,NA,NA,NA,-2.73726188574562,-2.57869595473384,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,36.25,"lat36.25lon-98.25",NA,NA,NA,NA,-2.66978815481586,-1.81294677650209,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,36.75,"lat36.75lon-98.25","n",-0.3435556869,0.148143891,NA,-2.38355032818335,-2.10791125795046,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,37.25,"lat37.25lon-98.25",NA,NA,NA,NA,-2.13540059120814,-2.00548144280283,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,37.75,"lat37.75lon-98.25",NA,NA,NA,NA,-1.59698361029746,-1.65722460310165,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,38.25,"lat38.25lon-98.25","n",-0.3128848703,0.3105705006,NA,-2.00564253744657,-1.79411392036206,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,38.75,"lat38.75lon-98.25",NA,NA,NA,NA,-1.89309423371904,-1.50590509737898,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,39.25,"lat39.25lon-98.25",NA,NA,NA,NA,-1.52908796159893,-1.42702870114961,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,39.75,"lat39.75lon-98.25","n",-0.2821188194,0.4735014519,NA,-1.36718407498047,-1.30782101070286,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,40.25,"lat40.25lon-98.25",NA,NA,NA,NA,-1.02902080302312,-1.34199224970473,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,40.75,"lat40.75lon-98.25",NA,NA,NA,NA,-0.801138224269841,-1.61582804959787,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,41.25,"lat41.25lon-98.25","n",-0.2512727112,0.6368563712,NA,-0.744398662926651,-1.22652288904032,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,41.75,"lat41.75lon-98.25",NA,NA,NA,NA,-0.637274043153792,-1.55690780862038,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,42.25,"lat42.25lon-98.25",NA,NA,NA,NA,0.0655985629074751,-1.72287534920185,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,42.75,"lat42.75lon-98.25","n",-0.220362817,0.8005490889,NA,-0.86459688978019,-2.3845581204044,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,43.25,"lat43.25lon-98.25",NA,NA,NA,NA,-0.481278386033962,-2.58443227662463,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,43.75,"lat43.75lon-98.25",NA,NA,NA,NA,-0.791864063958548,-2.95085882646445,NA,NA,NA,NA,NA,NA,NA,NA
